代码,名称,层级,成本价,持仓量,买入日期,入选理由
688268,华特气体,埋伏,,,,基本面尚可(毛利31%/ROE7%); 热门赛道(电子化学品Ⅱ); 高毛利优质
688300,联瑞新材,埋伏,,,,基本面尚可(毛利41%/ROE18%); 高毛利优质
688313,仕佳光子,埋伏,,,,基本面尚可(毛利33%/ROE27%); 热门赛道(通信设备); 高毛利优质
688521,芯原股份,埋伏,,,,热门赛道(半导体)
688676,金盘科技,埋伏,,,,基本面尚可(毛利26%/ROE14%); 热门赛道(电网设备)
688702,盛科通信-U,埋伏,,,,热门赛道(半导体)
688037,芯源微,埋伏,,,,"涂胶显影设备龙头,YMTC核心供应商"
688361,中科飞测,埋伏,,,,"半导体检测设备,YMTC量测需求"
688126,沪硅产业,埋伏,,,,"300mm大硅片,SOI硅片唯一,中国唯一打入YMTC供应链的硅片厂"
688409,富创精密,埋伏,,,,"半导体精密零部件,国产替代核心"
688535,华海诚科,埋伏,,,,"EMC塑封料,先进封装材料"
688519,南亚新材,埋伏,,,,"高速覆铜板,存储封装基板材料"
688525,佰维存储,埋伏,,,,"存储模组/eMMC/SSD,YMTC下游客户"
301377,鼎泰高科,埋伏,,,,"PCB微型钻头全球龙头,毛利53%/净利32%,AI算力→PCB→微钻耗材增量"
